,time_code,emotion_values.grief,emotion_values.joy,emotion_values.disgust,emotion_values.outofbreath,emotion_values.pain,emotion_values.anger,emotion_values.amazement,emotion_values.cheekiness,emotion_values.sadness,emotion_values.fear
0,0.03331249952316284,0.0,0.040177904069423676,0.0,0.0,0.0,0.017114603891968727,0.0,0.0,0.0,0.01823621429502964
1,0.06662499904632568,0.0,0.042052872478961945,0.0,0.0,0.0,0.01791328564286232,0.0,0.0,0.0,0.019087236374616623
2,0.4333125054836273,0.0,0.04511532187461853,0.0,0.0,0.0,0.019217798486351967,0.0,0.0,0.0,0.02047724276781082
3,0.46662500500679016,0.0,0.048892345279455185,0.0,0.0,0.0,0.02082669921219349,0.0,0.0,0.0,0.02219158411026001
4,0.499937504529953,0.0,0.053060680627822876,0.0,0.0,0.0,0.02260228805243969,0.0,0.0,0.0,0.024083534255623817
5,0.5333124995231628,0.0,0.057401303201913834,0.0,0.0,0.0,0.02445126697421074,0.0,0.0,0.0,0.026053685694932938
6,0.5666249990463257,0.0,0.06176768243312836,0.0,0.0,0.0,0.02631121501326561,0.0,0.0,0.0,0.028035525232553482
7,0.6000000238418579,0.0,0.06606356054544449,0.0,0.0,0.0,0.02814113162457943,0.0,0.0,0.0,0.02998536266386509
8,0.6333125233650208,0.0,0.07022745162248611,0.0,0.0,0.0,0.02991482801735401,0.0,0.0,0.0,0.03187530115246773
9,0.6666250228881836,0.0,0.07422183454036713,0.0,0.0,0.0,0.031616322696208954,0.0,0.0,0.0,0.03368829935789108
10,0.699999988079071,0.0,0.07802559435367584,0.0,0.0,0.0,0.033236611634492874,0.0,0.0,0.0,0.03541477024555206
11,0.7333124876022339,0.0,0.08475667983293533,0.0,0.0,0.0,0.03380881994962692,0.0,0.0,0.0,0.03584029898047447
12,0.7666249871253967,0.0,0.09326566010713577,0.0,0.0,0.0,0.03368484601378441,0.0,0.0,0.0,0.03540736064314842
13,0.800000011920929,0.0,0.10276602953672409,0.0,0.0,0.0,0.03310850262641907,0.0,0.0,0.0,0.034422218799591064
14,0.8333125114440918,0.0,0.11272408813238144,0.0,0.0,0.0,0.03224814683198929,0.0,0.0,0.0,0.03309600427746773
15,0.8666250109672546,0.0,0.12278201431035995,0.0,0.0,0.0,0.031219439581036568,0.0,0.0,0.0,0.03157348558306694
16,0.8999375104904175,0.0,0.13270403444766998,0.0,0.0,0.0,0.030101316049695015,0.0,0.0,0.0,0.029953159391880035
